0.0,112.0
1.0,118.0
2.0,132.0
3.0,129.0
4.0,121.0
5.0,135.0
6.0,148.0
7.0,148.0
8.0,136.0
9.0,119.0
10.0,104.0
11.0,118.0
12.0,115.0
13.0,126.0
14.0,141.0
15.0,135.0
16.0,125.0
17.0,149.0
18.0,170.0
19.0,170.0
20.0,158.0
21.0,133.0
22.0,114.0
23.0,140.0
24.0,145.0
25.0,150.0
26.0,178.0
27.0,163.0
28.0,172.0
29.0,178.0
30.0,199.0
31.0,199.0
32.0,184.0
33.0,162.0
34.0,146.0
35.0,166.0
36.0,171.0
37.0,180.0
38.0,193.0
39.0,181.0
40.0,183.0
41.0,218.0
42.0,230.0
43.0,242.0
44.0,209.0
45.0,191.0
46.0,172.0
47.0,194.0
48.0,196.0
49.0,196.0
50.0,236.0
51.0,235.0
52.0,229.0
53.0,243.0
54.0,264.0
55.0,272.0
56.0,237.0
57.0,211.0
58.0,180.0
59.0,201.0
60.0,204.0
61.0,188.0
62.0,235.0
63.0,227.0
64.0,234.0
65.0,264.0
66.0,302.0
67.0,293.0
68.0,259.0
69.0,229.0
70.0,203.0
71.0,229.0
72.0,242.0
73.0,233.0
74.0,267.0
75.0,269.0
76.0,270.0
77.0,315.0
78.0,364.0
79.0,347.0
80.0,312.0
81.0,274.0
82.0,237.0
83.0,278.0
84.0,284.0
85.0,277.0
86.0,317.0
87.0,313.0
88.0,318.0
89.0,374.0
90.0,413.0
91.0,405.0
92.0,355.0
93.0,306.0
94.0,271.0
95.0,306.0
96.0,315.0
97.0,301.0
98.0,356.0
99.0,348.0
100.0,355.0
101.0,422.0
102.0,465.0
103.0,467.0
104.0,404.0
105.0,347.0
106.0,305.0
107.0,336.0
108.0,340.0
109.0,318.0
110.0,362.0
111.0,348.0
112.0,363.0
113.0,435.0
114.0,491.0
115.0,505.0
116.0,404.0
117.0,359.0
118.0,310.0
119.0,337.0
120.0,360.0
121.0,342.0
122.0,406.0
123.0,396.0
124.0,420.0
125.0,472.0
126.0,548.0
127.0,559.0
128.0,463.0
129.0,407.0
130.0,362.0
131.0,405.0
132.0,417.0
133.0,391.0
134.0,419.0
135.0,461.0
136.0,472.0
137.0,535.0
138.0,622.0
139.0,606.0
140.0,508.0
141.0,461.0
142.0,390.0
143.0,432.0
